original_text,encrypted_text,key,cipher_type
the caesar cipher is one of the oldest encryption methods,xli geiwev gmtliv mw sri sj xli sphiwx irgvctxmsr qixlshw,4,caesar
frequency analysis is a powerful cryptanalytic technique,tfseisbqm obozmgwg wg o dcksftiz qfmdhobozmhwq hsqvbweis,14,caesar
cryptography is the practice of secure communication,rgneidvgpewn xh iwt egprixrt du htrjgt rdbbjcxrpixdc,15,caesar
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,24,caesar
frequency analysis is a powerful cryptanalytic technique,wivhlvetp rercpjzj zj r gfnviwlc tipgkrercpkzt kvtyezhlv,17,caesar
cryptography is the practice of secure communication,tipgkfxirgyp zj kyv girtkztv fw jvtliv tfddleztrkzfe,17,caesar
hello world this is a test message,czggj rjmgy ocdn dn v ozno hznnvbz,21,caesar
frequency analysis is a powerful cryptanalytic technique,amzlpzixt vivgtndn dn v kjrzmapg xmtkovivgtodx ozxcidlpz,21,caesar
breaking ciphers requires understanding patterns,vlyuecha wcjbylm lykoclym ohxylmnuhxcha junnylhm,20,caesar
machine learning can be applied to cryptanalysis,rfhmnsj qjfwsnsl hfs gj fuuqnji yt hwduyfsfqdxnx,5,caesar
the caesar cipher is one of the oldest encryption methods,sgd bzdrzq bhogdq hr nmd ne sgd nkcdrs dmbqxoshnm ldsgncr,25,caesar
cryptography is the practice of secure communication,ujqhlgyjshzq ak lzw hjsulauw gx kwumjw ugeemfauslagf,18,caesar
breaking ciphers requires understanding patterns,csfbljoh djqifst sfrvjsft voefstuboejoh qbuufsot,1,caesar
modern cryptography uses complex mathematical algorithms,xzopcy ncjaezrclasj fdpd nzxawpi xlespxletnlw lwrzctesxd,11,caesar
vigenere cipher uses a keyword for encryption,wjhfofsf djqifs vtft b lfzxpse gps fodszqujpo,1,caesar
hello world this is a test message,tqxxa iadxp ftue ue m fqef yqeemsq,12,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
the quick brown fox jumps over the lazy dog,bpm ycqks jzwev nwf rcuxa wdmz bpm tihg lwo,8,caesar
modern cryptography uses complex mathematical algorithms,prghuq fubswrjudskb xvhv frpsoha pdwkhpdwlfdo dojrulwkpv,3,caesar
hello world this is a test message,fcjjm umpjb rfgq gq y rcqr kcqqyec,24,caesar
vigenere cipher uses a keyword for encryption,yljhqhuh flskhu xvhv d nhbzrug iru hqfubswlrq,3,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
cryptography is the practice of secure communication,hwduytlwfumd nx ymj uwfhynhj tk xjhzwj htrrzsnhfynts,5,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
cryptography is the practice of secure communication,lahycxpajyqh rb cqn yajlcrln xo bnldan lxvvdwrljcrxw,9,caesar
breaking ciphers requires understanding patterns,vlyuecha wcjbylm lykoclym ohxylmnuhxcha junnylhm,20,caesar
substitution ciphers replace each letter with another,zbizapabapvu jpwolyz ylwshjl lhjo slaaly dpao huvaoly,7,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
machine learning can be applied to cryptanalysis,jxzefkb ibxokfkd zxk yb xmmifba ql zovmqxkxivpfp,23,caesar
frequency analysis is a powerful cryptanalytic technique,serdhrapl nanylfvf vf n cbjreshy pelcgnanylgvp grpuavdhr,13,caesar
the caesar cipher is one of the oldest encryption methods,iwt rpthpg rxewtg xh dct du iwt dasthi tcrgneixdc btiwdsh,15,caesar
breaking ciphers requires understanding patterns,qgtpzxcv rxewtgh gtfjxgth jcstghipcsxcv epiitgch,15,caesar
hello world this is a test message,pmttw ewztl bpqa qa i bmab umaaiom,8,caesar
machine learning can be applied to cryptanalysis,pdfklqh ohduqlqj fdq eh dssolhg wr fubswdqdobvlv,3,caesar
the caesar cipher is one of the oldest encryption methods,uif dbftbs djqifs jt pof pg uif pmeftu fodszqujpo nfuipet,1,caesar
modern cryptography uses complex mathematical algorithms,egvwjf ujqhlgyjshzq mkwk ugehdwp eslzweslausd sdygjalzek,18,caesar
machine learning can be applied to cryptanalysis,ftvabgx extkgbgz vtg ux tiiebxw mh vkrimtgterlbl,19,caesar
machine learning can be applied to cryptanalysis,nbdijof mfbsojoh dbo cf bqqmjfe up dszqubobmztjt,1,caesar
hello world this is a test message,ebiil tloia qefp fp x qbpq jbppxdb,23,caesar
the quick brown fox jumps over the lazy dog,bpm ycqks jzwev nwf rcuxa wdmz bpm tihg lwo,8,caesar
hello world this is a test message,jgnnq yqtnf vjku ku c vguv oguucig,2,caesar
the caesar cipher is one of the oldest encryption methods,wkh fdhvdu flskhu lv rqh ri wkh roghvw hqfubswlrq phwkrgv,3,caesar
breaking ciphers requires understanding patterns,jzmisqvo kqxpmza zmycqzma cvlmzabivlqvo xibbmzva,8,caesar
frequency analysis is a powerful cryptanalytic technique,bnamqajyu wjwhuoeo eo w lksanbqh ynulpwjwhupey paydjemqa,22,caesar
vigenere cipher uses a keyword for encryption,cpnlulyl jpwoly bzlz h rlfdvyk mvy lujyfwapvu,7,caesar
breaking ciphers requires understanding patterns,gwjfpnsl hnumjwx wjvznwjx zsijwxyfsinsl ufyyjwsx,5,caesar
modern cryptography uses complex mathematical algorithms,fhwxkg vkrimhzktiar nlxl vhfiexq ftmaxftmbvte tezhkbmafl,19,caesar
vigenere cipher uses a keyword for encryption,dqomvmzm kqxpmz cama i smgewzl nwz mvkzgxbqwv,8,caesar
vigenere cipher uses a keyword for encryption,jwusbsfs qwdvsf igsg o ysmkcfr tcf sbqfmdhwcb,14,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
hello world this is a test message,dahhk sknhz pdeo eo w paop iaoowca,22,caesar
substitution ciphers replace each letter with another,egnefufgfuaz oubtqde dqbxmoq qmot xqffqd iuft mzaftqd,12,caesar
substitution ciphers replace each letter with another,gipghwhihwcb qwdvsfg fsdzoqs soqv zshhsf kwhv obchvsf,14,caesar
vigenere cipher uses a keyword for encryption,tgeclcpc agnfcp sqcq y icwumpb dmp clapwnrgml,24,caesar
the quick brown fox jumps over the lazy dog,pda mqeyg xnksj bkt fqilo kran pda hwvu zkc,22,caesar
hello world this is a test message,jgnnq yqtnf vjku ku c vguv oguucig,2,caesar
substitution ciphers replace each letter with another,qszqrgrsrgml agnfcpq pcnjyac cyaf jcrrcp ugrf ylmrfcp,24,caesar
the caesar cipher is one of the oldest encryption methods,xli geiwev gmtliv mw sri sj xli sphiwx irgvctxmsr qixlshw,4,caesar
machine learning can be applied to cryptanalysis,thjopul slhyupun jhu il hwwsplk av jyfwahuhsfzpz,7,caesar
machine learning can be applied to cryptanalysis,esuzafw dwsjfafy usf tw shhdawv lg ujqhlsfsdqkak,18,caesar
vigenere cipher uses a keyword for encryption,anljsjwj hnumjw zxjx f pjdbtwi ktw jshwduynts,5,caesar
substitution ciphers replace each letter with another,yahyzozazout iovnkxy xkvrgik kgin rkzzkx cozn gtuznkx,6,caesar
frequency analysis is a powerful cryptanalytic technique,ugtfjtcrn pcpanhxh xh p edltguja rgneipcpanixr itrwcxfjt,15,caesar
machine learning can be applied to cryptanalysis,pdfklqh ohduqlqj fdq eh dssolhg wr fubswdqdobvlv,3,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
hello world this is a test message,jgnnq yqtnf vjku ku c vguv oguucig,2,caesar
breaking ciphers requires understanding patterns,csfbljoh djqifst sfrvjsft voefstuboejoh qbuufsot,1,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
machine learning can be applied to cryptanalysis,sginotk rkgxtotm igt hk gvvrokj zu ixevzgtgreyoy,6,caesar
substitution ciphers replace each letter with another,ikrijyjkjyed syfxuhi hufbqsu uqsx bujjuh myjx qdejxuh,16,caesar
vigenere cipher uses a keyword for encryption,cpnlulyl jpwoly bzlz h rlfdvyk mvy lujyfwapvu,7,caesar
substitution ciphers replace each letter with another,uwduvkvwvkqp ekrjgtu tgrnceg gcej ngvvgt ykvj cpqvjgt,2,caesar
cryptography is the practice of secure communication,pelcgbtencul vf gur cenpgvpr bs frpher pbzzhavpngvba,13,caesar
the quick brown fox jumps over the lazy dog,gur dhvpx oebja sbk whzcf bire gur ynml qbt,13,caesar
frequency analysis is a powerful cryptanalytic technique,ugtfjtcrn pcpanhxh xh p edltguja rgneipcpanixr itrwcxfjt,15,caesar
frequency analysis is a powerful cryptanalytic technique,tfseisbqm obozmgwg wg o dcksftiz qfmdhobozmhwq hsqvbweis,14,caesar
breaking ciphers requires understanding patterns,xnawgejc yeldano namqenao qjzanopwjzejc lwppanjo,22,caesar
vigenere cipher uses a keyword for encryption,anljsjwj hnumjw zxjx f pjdbtwi ktw jshwduynts,5,caesar
machine learning can be applied to cryptanalysis,wkmrsxo vokbxsxq mkx lo kzzvson dy mbizdkxkvicsc,10,caesar
machine learning can be applied to cryptanalysis,ocejkpg ngctpkpi ecp dg crrnkgf vq etarvcpcnauku,2,caesar
modern cryptography uses complex mathematical algorithms,kmbcpl apwnrmepynfw sqcq amknjcv kyrfckyrgayj yjempgrfkq,24,caesar
breaking ciphers requires understanding patterns,dtgcmkpi ekrjgtu tgswktgu wpfgtuvcpfkpi rcvvgtpu,2,caesar
the caesar cipher is one of the oldest encryption methods,vjg ecguct ekrjgt ku qpg qh vjg qnfguv gpetarvkqp ogvjqfu,2,caesar
the quick brown fox jumps over the lazy dog,max jnbvd ukhpg yhq cnfil hoxk max etsr whz,19,caesar
vigenere cipher uses a keyword for encryption,mzxveviv tzgyvi ljvj r bvpnfiu wfi vetipgkzfe,17,caesar
breaking ciphers requires understanding patterns,hxkgqotm iovnkxy xkwaoxky atjkxyzgtjotm vgzzkxty,6,caesar
the quick brown fox jumps over the lazy dog,kyv hlztb sifne wfo aldgj fmvi kyv crqp ufx,17,caesar
hello world this is a test message,nkrru cuxrj znoy oy g zkyz skyygmk,6,caesar
hello world this is a test message,byffi qilfx nbcm cm u nymn gymmuay,20,caesar
hello world this is a test message,dahhk sknhz pdeo eo w paop iaoowca,22,caesar
machine learning can be applied to cryptanalysis,znpuvar yrneavat pna or nccyvrq gb pelcgnanylfvf,13,caesar
hello world this is a test message,axeeh phkew mabl bl t mxlm fxlltzx,19,caesar
machine learning can be applied to cryptanalysis,ftvabgx extkgbgz vtg ux tiiebxw mh vkrimtgterlbl,19,caesar
modern cryptography uses complex mathematical algorithms,oqfgtp etarvqitcrja wugu eqorngz ocvjgocvkecn cniqtkvjou,2,caesar
modern cryptography uses complex mathematical algorithms,prghuq fubswrjudskb xvhv frpsoha pdwkhpdwlfdo dojrulwkpv,3,caesar
substitution ciphers replace each letter with another,oqxopepqpekj yeldano nalhwya awyd happan sepd wjkpdan,22,caesar
modern cryptography uses complex mathematical algorithms,fhwxkg vkrimhzktiar nlxl vhfiexq ftmaxftmbvte tezhkbmafl,19,caesar
breaking ciphers requires understanding patterns,mcplvtyr ntaspcd cpbftcpd fyopcdelyotyr aleepcyd,11,caesar
frequency analysis is a powerful cryptanalytic technique,mylxblujf huhsfzpz pz h wvdlymbs jyfwahuhsfapj aljoupxbl,7,caesar
the caesar cipher is one of the oldest encryption methods,bpm kimaiz kqxpmz qa wvm wn bpm wtlmab mvkzgxbqwv umbpwla,8,caesar
frequency analysis is a powerful cryptanalytic technique,serdhrapl nanylfvf vf n cbjreshy pelcgnanylgvp grpuavdhr,13,caesar
cryptography is the practice of secure communication,ynulpkcnwldu eo pda lnwypeya kb oayqna ykiiqjeywpekj,22,caesar
frequency analysis is a powerful cryptanalytic technique,ugtfjtcrn pcpanhxh xh p edltguja rgneipcpanixr itrwcxfjt,15,caesar
the caesar cipher is one of the oldest encryption methods,sgd bzdrzq bhogdq hr nmd ne sgd nkcdrs dmbqxoshnm ldsgncr,25,caesar
hello world this is a test message,ifmmp xpsme uijt jt b uftu nfttbhf,1,caesar
vigenere cipher uses a keyword for encryption,pcayhyly wcjbyl omym u eysqilx zil yhwlsjncih,20,caesar
modern cryptography uses complex mathematical algorithms,qshivr gvctxskvetlc ywiw gsqtpib qexliqexmgep epksvmxlqw,4,caesar
hello world this is a test message,zwddg ogjdv lzak ak s lwkl ewkksyw,18,caesar
machine learning can be applied to cryptanalysis,drtyzev cvriezex tre sv rggczvu kf tipgkrercpjzj,17,caesar
frequency analysis is a powerful cryptanalytic technique,kwjvzjshd fsfqdxnx nx f utbjwkzq hwduyfsfqdynh yjhmsnvzj,5,caesar
the caesar cipher is one of the oldest encryption methods,wkh fdhvdu flskhu lv rqh ri wkh roghvw hqfubswlrq phwkrgv,3,caesar
machine learning can be applied to cryptanalysis,ymotuzq xqmdzuzs omz nq mbbxuqp fa odkbfmzmxkeue,12,caesar
frequency analysis is a powerful cryptanalytic technique,lxkwaktie gtgreyoy oy g vuckxlar ixevzgtgrezoi zkintowak,6,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
frequency analysis is a powerful cryptanalytic technique,zlykoyhws uhufsmcm cm u jiqylzof wlsjnuhufsncw nywbhckoy,20,caesar
breaking ciphers requires understanding patterns,csfbljoh djqifst sfrvjsft voefstuboejoh qbuufsot,1,caesar
breaking ciphers requires understanding patterns,lbokusxq mszrobc boaesboc exnobcdkxnsxq zkddobxc,10,caesar
hello world this is a test message,mjqqt btwqi ymnx nx f yjxy rjxxflj,5,caesar
frequency analysis is a powerful cryptanalytic technique,jviuyirgc erepcwmw mw e tsaivjyp gvctxerepcxmg xiglrmuyi,4,caesar
hello world this is a test message,fcjjm umpjb rfgq gq y rcqr kcqqyec,24,caesar
breaking ciphers requires understanding patterns,gwjfpnsl hnumjwx wjvznwjx zsijwxyfsinsl ufyyjwsx,5,caesar
frequency analysis is a powerful cryptanalytic technique,pboaeoxmi kxkvicsc sc k zygobpev mbizdkxkvidsm domrxsaeo,10,caesar
modern cryptography uses complex mathematical algorithms,tvklyu jyfwavnyhwof bzlz jvtwsle thaolthapjhs hsnvypaotz,7,caesar
the caesar cipher is one of the oldest encryption methods,aol jhlzhy jpwoly pz vul vm aol vsklza lujyfwapvu tlaovkz,7,caesar
frequency analysis is a powerful cryptanalytic technique,wivhlvetp rercpjzj zj r gfnviwlc tipgkrercpkzt kvtyezhlv,17,caesar
vigenere cipher uses a keyword for encryption,erpnwnan lryqna dbnb j tnhfxam oxa nwlahycrxw,9,caesar
the quick brown fox jumps over the lazy dog,wkh txlfn eurzq ira mxpsv ryhu wkh odcb grj,3,caesar
substitution ciphers replace each letter with another,bdkbcrcdcrxw lryqnab anyujln njlq unccna frcq jwxcqna,9,caesar
the quick brown fox jumps over the lazy dog,uif rvjdl cspxo gpy kvnqt pwfs uif mbaz eph,1,caesar
the caesar cipher is one of the oldest encryption methods,sgd bzdrzq bhogdq hr nmd ne sgd nkcdrs dmbqxoshnm ldsgncr,25,caesar
cryptography is the practice of secure communication,xmtkojbmvkct dn ocz kmvxodxz ja nzxpmz xjhhpidxvodji,21,caesar
frequency analysis is a powerful cryptanalytic technique,lxkwaktie gtgreyoy oy g vuckxlar ixevzgtgrezoi zkintowak,6,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
substitution ciphers replace each letter with another,kmtklalmlagf uahzwjk jwhdsuw wsuz dwllwj oalz sfglzwj,18,caesar
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,4,caesar
hello world this is a test message,ebiil tloia qefp fp x qbpq jbppxdb,23,caesar
cryptography is the practice of secure communication,ujqhlgyjshzq ak lzw hjsulauw gx kwumjw ugeemfauslagf,18,caesar
the quick brown fox jumps over the lazy dog,ftq cguow ndaiz raj vgybe ahqd ftq xmlk pas,12,caesar
modern cryptography uses complex mathematical algorithms,egvwjf ujqhlgyjshzq mkwk ugehdwp eslzweslausd sdygjalzek,18,caesar
cryptography is the practice of secure communication,qfmdhcufodvm wg hvs dfoqhwqs ct gsqifs qcaaibwqohwcb,14,caesar
cryptography is the practice of secure communication,etarvqitcrja ku vjg rtcevkeg qh ugewtg eqoowpkecvkqp,2,caesar
frequency analysis is a powerful cryptanalytic technique,rdqcgqzok mzmxkeue ue m baiqdrgx odkbfmzmxkfuo fqotzucgq,12,caesar
the quick brown fox jumps over the lazy dog,ftq cguow ndaiz raj vgybe ahqd ftq xmlk pas,12,caesar
machine learning can be applied to cryptanalysis,iwydeja hawnjejc ywj xa wllheaz pk ynulpwjwhuoeo,22,caesar
machine learning can be applied to cryptanalysis,iwydeja hawnjejc ywj xa wllheaz pk ynulpwjwhuoeo,22,caesar
hello world this is a test message,tqxxa iadxp ftue ue m fqef yqeemsq,12,caesar
breaking ciphers requires understanding patterns,pfsoywbu qwdvsfg fseiwfsg ibrsfghobrwbu dohhsfbg,14,caesar
modern cryptography uses complex mathematical algorithms,kmbcpl apwnrmepynfw sqcq amknjcv kyrfckyrgayj yjempgrfkq,24,caesar
cryptography is the practice of secure communication,kzgxbwozixpg qa bpm xzikbqkm wn amkczm kwuucvqkibqwv,8,caesar
cryptography is the practice of secure communication,ixevzumxgvne oy znk vxgizoik ul ykiaxk iussatoigzout,6,caesar
substitution ciphers replace each letter with another,tvctujuvujpo djqifst sfqmbdf fbdi mfuufs xjui bopuifs,1,caesar
cryptography is the practice of secure communication,apwnrmepynfw gq rfc npyargac md qcaspc amkkslgayrgml,24,caesar
the caesar cipher is one of the oldest encryption methods,hvs qosgof qwdvsf wg cbs ct hvs czrsgh sbqfmdhwcb ashvcrg,14,caesar
machine learning can be applied to cryptanalysis,vjlqrwn unjawrwp ljw kn jyyurnm cx lahycjwjuhbrb,9,caesar
cryptography is the practice of secure communication,zovmqldoxmev fp qeb moxzqfzb lc pbzrob zljjrkfzxqflk,23,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
the quick brown fox jumps over the lazy dog,jxu gkysa rhemd ven zkcfi eluh jxu bqpo tew,16,caesar
machine learning can be applied to cryptanalysis,thjopul slhyupun jhu il hwwsplk av jyfwahuhsfzpz,7,caesar
vigenere cipher uses a keyword for encryption,husqzqdq oubtqd geqe m wqkiadp rad qzodkbfuaz,12,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
machine learning can be applied to cryptanalysis,nbdijof mfbsojoh dbo cf bqqmjfe up dszqubobmztjt,1,caesar
machine learning can be applied to cryptanalysis,znpuvar yrneavat pna or nccyvrq gb pelcgnanylfvf,13,caesar
